Name der Praxis;Kategorie;Angebotene Leistungen;Straße;PLZ;Ort;Koordinaten (Lat/Lng);Telefon;Website;Selbstzahler;Preis in Euro
Röntgenpraxis Georgstrasse;DEXA Premium;"Body Composition; Knochendichte";Georgstrasse. 16;30159;Hannover;52.37524586335119, 9.7359770424952;0511 1237170;http://roentgenpraxis-georgstrasse.de/;Ja;
Privatpraxis Orthocentrum-Laatzen;DXA;Knochendichte Messung ;Würzburger Straße. 13;30880;Laatzen;52.30908603522085, 9.807592532081431;0511  51534030;https://www.toportho.de/;;
Orthopädie am Raschplatz;DXA;Knochendichte Messung ;Runde Straße. 10;30161;Hannover;52.37954329870607, 9.739429824691829;0511 9209330 ;https://orthopaedieamraschplatz.de/;;
Frauenärztliche Gemeinschaftspraxis;DXA;Knochendichte Messung ;Podbielskistraße. 311;30659;Hannover;52.408269148084514, 9.799476643527058;0511 640 40 10;https://frauenaerztinnen-hannover.de/;;
Orthopädie Garbsen;DXA;Knochendichte Messung ;Höltyplatz. 5;30823;Garbsen;52.40565960663372, 9.616388718631068;05137 73011;https://orthopaedie-garbsen.de/;;
Dr. med. F. Mansouri und Kollegen Fachärzte für Orthopädie & Unfallchirurgie;BIA;Messung von Körperfett & Muskelmasse;Schillerstr. 34 ;30159;Hannover;52.37566091583399, 9.736145813046281;0511 322 405;https://www.xn--hannover-orthopde-4qb.de/;;
Orthopädie Praxis Nordstadt;BIA;Messung von Körperfett & Muskelmasse;Haltenhoffstraße 41 (Haus G);30167;Hannover;52.391552520231876, 9.714937884211595;0511 715566;https://www.orthopaediepraxis-nordstadt.de/;;
Dominik Machner Gesundheitspraxis ;BIA;Messung von Körperfett & Muskelmasse;Podbielskistraße 325;30659;Hannover;52.40693575865131, 9.801075124693169;0511 640 41 320 ;https://gesundeshannover.de/;Ja;  ab 70 ,00
SPINE + SPORT;BIA;Messung von Körperfett & Muskelmasse;Herrenhäuser Kirchweg 38;30167;Hannover;52.39091406467431, 9.706297068869718; 0511 87813878;https://www.spine-sport.de/;;
Hausarztpraxis Isernhagen HB;BIA;Messung von Körperfett & Muskelmasse;Weizenkamp 4;30916;Isernhagen;52.475659460980495, 9.798255026544766;0511 775684;https://www.praxis-isernhagen.de/;;
MVZ Medizinisches Labor Hannover;Bluttest;Blutabnehmen;Am TÜV 6;30519;Hannover;52.33632608381622, 9.778267849026077;0511 856220;https://www.labor-limbach-hannover.de/;;
Hausarzt Zentrum List;Bluttest;Blutabnehmen;Jakobistraße 46;30163;Hannover;52.391211994047616, 9.742535624843796;0511  662933;https://www.hausarzt-zentrum-list.de/;;
LADR Laborzentrum Hannover;Bluttest;Blutabnehmen;Oldenburger Allee 31;30659;Hannover;52.42043703503663, 9.824342711638884;0511 901360;https://www.ladr.de/;;
Dr. Berndt & Partner MVZ;Bluttest;Blutabnehmen;Voßstraße 24;30161;Hannover;52.38857017267052, 9.741150269024253;0511 620025;https://www.praxis-dr-berndt.de/;;
